Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,EComposer product countdown end at (product.metafields.ecomposer.countdown),EComposer product countdown start at (product.metafields.ecomposer.countdown_from),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
vitamin-c-lotion-1,Vitamin C Lotion,"<h2>Description</h2> <p><span style=""font-weight: 400;"">Discover the essential daily moisturizer encapsulated in a single bottle—our Vitamin C Lotion. Vitamin C lends its brilliance to your skin, amplifying collagen production while fortifying your skin's inherent repair mechanisms. Witness the transformative effects as hyperpigmentation diminishes, leading to a more even skin tone. A delicate fusion of aloe and glycerin nurtures and softens your skin, even after enduring long days. Uncover the benefits of rose hip extract, which bolsters capillary walls, enhancing blood circulation and rejuvenating skin cell growth.</span></p>
<p> </p>
<p><span style=""font-weight: 400;"">Made in North America.</span></p> <h2>Benefits</h2> <ul>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Vitamin C brightens skin and enhances collagen production</span></li>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Aloe and glycerin moisturizes skin</span></li>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Rose hip extract strengthens skin cell growth</span></li>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Natural marigold extract and allantoin soothe and protect against inflammation</span></li>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Panthenol strengthens skin barrier</span></li>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Natural scent of tangerine and orange peel for maximum relaxation</span></li>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Suitable for all skin types</span></li>
</ul> <h2>Application</h2> <ul>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Apply on your face, avoiding the eye area, after cleansing</span></li>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Can be used morning and evening</span></li>
</ul> <h2>Ingredients</h2> <p><span style=""font-weight: 400;"">Aqua/Water/Eau, Ethylhexyl Methoxycinnamate, Butylene Glycol, Octyldodecyl Neopentanoate, Glyceryl Stearate, Butyl Methoxydibenzoylmethane, C12-15 Alkyl Benzoate, Dimethicone, Silica, PEG-100 Stearate, Cetyl Alcohol, Butyrospermum Parkii (Shea) Butter, Allantoin, Steareth-20, Ethylhexylglycerin, Panthenol, Tocopheryl Acetate, Ascorbyl Palmitate, Tetrahexyldecyl Ascorbate, Magnesium Ascorbyl Phosphate, Citrus Aurantium Dulcis (Orange) Peel Oil, Citrus Tangerina (Tangerine) Peel Oil, Aloe Barbadensis Leaf Extract, Calendula Officinalis Flower Extract, Chamomilla Recutita (Matricaria) Flower Extract, Cymbopogon Schoenanthus Extract, Rosa Canina Fruit Extract, Caprylic/Capric Triglyceride, Diethylhexyl Syringylidenemalonate, Glycerin, Stearyl Alcohol, Octyldodecanol, Ethylhexyl Stearate, Sodium Hyaluronate, Ceteth-20, Sodium Polyacrylate, Trideceth-6, Carbomer, Sodium Hydroxide, BHT, Citric Acid, Disodium EDTA, Phenoxyethanol, o-Cymen-5-ol, Yellow 10 (CI 47005), Yellow 6 (CI 15985), *Limonene</span></p>",Ayonne skin,Services > Personal Services > Beauty & Personal Care,Anti Aging serums,"anti-aging, Anti-Aging Cream, Anti-Aging Serum, biohacking, blue project protocol, bryan johnson, Fountain of Youth: Anti-Aging Serums, Mens Collection",true,Title,Default Title,,,,,,,,56083-BLNK-MN-03-02-VLT,0.0,shopify,deny,blanka,49.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/5257/9420/files/Vitamin_C_Lotion_png_d37c9993-9dd1-4850-af2e-85756890baf2.png?v=1730792082,1,"",false,Buy Vitamin C Lotion - Best Cosmetics Product,"Shop Vitamin C Lotion, the best in skincare and beauty products. Perfect for anti-aging and moisturizing effects.",,,,,,,,,,,,,,,,,lb,,20.97,active
vitamin-c-lotion-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/5257/9420/files/Vitamin_C_Lotion_2_png_ea0d5ef3-0c98-44e5-8e6b-bed6e0612c98.png?v=1730792116,2,"",,,,,,,,,,,,,,,,,,,,,,,
collagen-and-retinol-serum-1,Collagen and Retinol Serum,"<h2>Description</h2>
<p><span style=""font-weight: 400;"">The ultimate anti-aging solution. Try this collagen and retinol serum to achieve radiant, youthful skin. This multi-purpose serum uses a blend of collagen, retinol and hyaluronic acid, to help fortify your skin. It can enhance firmness, and lock in moisture to provide deep hydration for a supple and smooth complexion. Soybean oil is packed with antioxidants to replenish your skin. Perfect for all skin types.</span></p>
<p> </p>
<p><span style=""font-weight: 400;"">Made in North America.</span></p>
<h2>Benefits</h2>
<ul>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Collagen improves skin elasticity for youthful-looking skin</span></li>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Retinol increases skin cell production and natural collagen production</span></li>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Hyaluronic acid deeply moisturizes the skin</span></li>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Hyaluronic acid heals scarring and regenerates skin elasticity</span></li>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Soybean oil replenishes skin with antioxidant properties</span></li>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Paraben free and cruelty free</span></li>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Suitable for all skin types</span></li>
</ul>
<h2>Application</h2>
<ul>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Apply 2-3 drops into the palm of your hand and apply to face and neck</span></li>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Massage gently into skin</span></li>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Follow with face cream or SPF in the day time</span></li>
</ul>
<h2>Ingredients</h2>
<p><span style=""font-weight: 400;"">Water (Aqua), Polysorbate-20, Glycine Soja (Soybean) Oil, Hydrolyzed Collagen, Retinol, Sodium Hyaluronate, Cocos Nucifera (Coconut) Fruit Juice, Astaxanthin, Fucoxanthin, Chlorella Emersonii Extract, Phenoxyethanol, Sodium Pca, Bisabol, Tocopheryl Acetate, Peg 25 Hydrogenated Castor Oil, Fragrance</span></p>",Ayonne skin,Services > Personal Services > Beauty & Personal Care,Anti Aging serums,"anti-aging, Anti-Aging Serum, biohacking, blue project protocol, bryan johnson, Fountain of Youth: Anti-Aging Serums, Mens Collection",true,Title,Default Title,,,,,,,,56083-BLNK-GF-03-02-CRS,0.0,shopify,deny,blanka,33.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/5257/9420/files/3.png?v=1744874274,1,"",false,Buy Collagen and Retinol Serum - Best Cosmetics Product,"Shop Collagen and Retinol Serum, the best in skincare and beauty products. Perfect for anti-aging and moisturizing effects.",,,,,,,,,,,,,,,,,lb,,14.98,active
collagen-and-retinol-serum-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/5257/9420/files/Collagen_and_Retinol_Serum_png_39ce491d-d5ec-48eb-9e89-94e19d0edac9.png?v=1744874274,2,"",,,,,,,,,,,,,,,,,,,,,,,
collagen-and-retinol-serum-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/5257/9420/files/Collagen_and_Retinol_Serum_2_png_a53309cd-0c9a-46ba-beff-499de3ea7d51.png?v=1744874274,3,"",,,,,,,,,,,,,,,,,,,,,,,
vitamin-c-toner-1,Ayonne Vitamin C Brightening Toner,"<h2>Description</h2>
<p>Revitalize and refresh your skin with Ayonne’s Vitamin C Toner, designed to tighten pores and balance skin tone. Packed with potent antioxidants, this toner helps fight free radicals, reduces hyperpigmentation, and restores your skin's natural glow.</p>
<p> </p>
<p><span style=""font-weight: 400;"">Made in North America.</span></p>
<h2>Benefits</h2>
<ul>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Vitamin C and green tea extract stimulate collagen production</span></li>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Algae extract and pullulan firm and tighten skin</span></li>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Japanese knotweed brightens skin</span></li>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Witch hazel extract minimizes the appearance of pores</span></li>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Natural scent of tangerine and orange peel maximize relaxation</span></li>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Suitable for all skin types</span></li>
</ul>
<h2>Application</h2>
<ul>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">After cleansing, saturate a cotton pad and gently stroke or pat over face and neck</span></li>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Can be used morning and evening</span></li>
</ul>
<h2>Ingredients</h2>
<p><span style=""font-weight: 400;"">Aqua/Water/Eau, Butylene Glycol, Hamamelis Virginiana (Witch Hazel) Leaf Extract, Sodium Ascorbyl Phosphate, Citrus Aurantium Dulcis (Orange) Peel Oil, Citric Acid, Citrus Tangerina (Tangerine) Peel Oil, Nannochloropsis Oculata Extract , Polygonum Cuspidatum Root Extract, Camellia Sinensis Leaf Extract, Aloe Barbadensis Leaf Extract, Tangerine Oil Terpenes , PEG-40 Hydrogenated Castor Oil, Trideceth-9, Pullulan, Polysorbate 20, Allantoin, Glycerin, Disodium EDTA, Caprylyl Glycol, 1,2-Hexanediol, Potassium Sorbate, Sodium Benzoate, Phenoxyethanol, Limonene, Linalool</span></p>",Ayonne,Services > Personal Services > Beauty & Personal Care,Anti Aging serums,"anti-aging, Anti-Aging Serum, biohacking, blue project protocol, brightening skincare, brightening toner, bryan johnson, Fountain of Youth: Anti-Aging Serums, Mens Collection, Vitamin C toner",true,Title,Default Title,,,,,,,,56083-BLNK-MN-03-02-VCT,0.0,shopify,deny,blanka,36.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/5257/9420/files/0010-7880636202250656289.png?v=1744876090,1,Ayonne Vitamin C Brightening Toner,false,Buy Vitamin C Toner - Best Cosmetics Product,"Shop Vitamin C Toner, the best in skincare and beauty products. Perfect for anti-aging and moisturizing effects.",,,,,,,,,,,,,,,,,lb,,15.35,active
vitamin-c-toner-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/5257/9420/files/Vitamin_C_Toner_png_82541a11-23df-4b45-a3d7-4389d5107af0.png?v=1744876090,2,"",,,,,,,,,,,,,,,,,,,,,,,
hyaluronic-acid-serum-1,Hyaluronic Acid Serum,"<h2>Description</h2> <p><span style=""font-weight: 400;"">The ultimate solution to achieve hydration and elasticity for your skin. This potent serum is crafted with hyaluronic acid, which deeply moisturizes and nourishes your skin. Not only that, hyaluronic acid has been proven to help heal scarring, regenerate elasticity throughout the skin, and be an effective hydrator. Glycerin is a powerhouse ingredient in itself as well, working to bring bounce back to your skin and strengthen its barrier. Suitable for all skin types, this serum can be used after your daily skincare routine or even periodically throughout the day to maintain optimal hydration levels.</span></p>
<p> </p>
<p><span style=""font-weight: 400;"">Made in North America.</span></p> <h2>Benefits</h2> <ul>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Hyaluronic acid deeply moisturizes the skin</span></li>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Hyaluronic acid heals scarring and regenerates skin elasticity</span></li>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Glycerin brings glow and bounce to the skin</span></li>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Suitable for all skin types</span></li>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Paraben free and cruelty free</span></li>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Vegan</span></li>
</ul> <h2>Application</h2> <ul>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Apply 2-3 drops into the palm of your hand and apply to face and neck</span></li>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Massage gently into skin</span></li>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Follow with face cream or SPF in the day time</span></li>
</ul> <h2>Ingredients</h2> <p><span style=""font-weight: 400;"">Water (Aqua), Glycerin, Butylene Glycol, Phenoxyethanol, Sodium Hyaluronate, Carbomer, Xanthan Gum</span></p>",Ayonne skin,Services > Personal Services > Beauty & Personal Care,Anti Aging serums,"anti-aging, Anti-Aging Serum, biohacking, blue project protocol, bryan johnson, Fountain of Youth: Anti-Aging Serums, Mens Collection",true,Title,Default Title,,,,,,,,56083-BLNK-GF-03-02-HAS,0.0,shopify,deny,blanka,26.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/5257/9420/files/Hyaluronic_Acid_Serum_png_36a464f9-300e-422a-9b66-be8ba13b9739.png?v=1730792865,1,"",false,Buy Hyaluronic Acid Serum - Best Cosmetics Product,"Shop Hyaluronic Acid Serum, the best in skincare and beauty products. Perfect for anti-aging and moisturizing effects.",,,,,,,,,,,,,,,,,lb,,12.84,active
hyaluronic-acid-serum-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/5257/9420/files/Hyaluronic_Acid_Serum_2_png_dca88ba5-b7c2-42f1-8353-c5ce237e4e9a.png?v=1730792890,2,"",,,,,,,,,,,,,,,,,,,,,,,
vitamin-c-cleanser-1,Vitamin C Cleanser,"<h2>Description</h2>
<p><span style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">Introducing our radiant Vitamin C Cleanser. With a gentle gel texture, the Vitamin C Cleanser effortlessly sweeps away makeup and impurities, ensuring your skin remains free from any unwanted elements. Experience the gentle exfoliating prowess of the cleanser, working to dissolve lackluster and compromised skin.</span></p>
<p> </p>
<p><span style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">This vitamin C packed cleanser will not only brighten your skin, but also enhance collagen production, reducing hyperpigmentation for a more even skin tone. Enriched with the goodness of green tea and vitamins A and E, this formula extends its care to tender skin, effectively alleviating irritations stemming from environmental stressors. Lastly, the ginkgo biloba leaf extract enhances blood flow circulation of your skin. With a gentle scent of natural tangerine and orange peel oil, this Vitamin C Cleanser offers a touch of luxury that calms and rejuvenates your skin to its fullest potential.</span></p>
<p> </p>
<p><span style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">Made in North America.</span></p>
<h2>Benefits</h2>
<ul>
<li style=""font-weight: 400;"" aria-level=""1"" data-mce-style=""font-weight: 400;""><span style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">Vitamin C brightens your skin and enhances collagen production</span></li>
<li style=""font-weight: 400;"" aria-level=""1"" data-mce-style=""font-weight: 400;""><span style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">Vitamin A and E softens skin and reduces skin irritation</span></li>
<li style=""font-weight: 400;"" aria-level=""1"" data-mce-style=""font-weight: 400;""><span style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">Ginkgo biloba leaf extract enhances blood flow circulation of your skin</span></li>
<li style=""font-weight: 400;"" aria-level=""1"" data-mce-style=""font-weight: 400;""><span style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">Natural scent of tangerine and orange peel for maximum relaxation</span></li>
<li style=""font-weight: 400;"" aria-level=""1"" data-mce-style=""font-weight: 400;""><span style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">Vegan, Paraben-free, Cruelty-free</span></li>
<li style=""font-weight: 400;"" aria-level=""1"" data-mce-style=""font-weight: 400;""><span style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">Suitable for all skin types</span></li>
</ul>
<h2>Application</h2>
<ul>
<li style=""font-weight: 400;"" aria-level=""1"" data-mce-style=""font-weight: 400;""><span style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">Gently massage onto wet skin using circular motions</span></li>
<li style=""font-weight: 400;"" aria-level=""1"" data-mce-style=""font-weight: 400;""><span style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">Rinse off the gel cleanser thoroughly with warm water</span></li>
<li style=""font-weight: 400;"" aria-level=""1"" data-mce-style=""font-weight: 400;""><span style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">Can be used morning and evening</span></li>
</ul>
<h2>Ingredients</h2>
<p><span style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">Water (Aqua), Jojoba Esters, Disodium Laureth Sulfosuccinate, Butylene Glycol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Sodium Lauryl Sulfoacetate, Disodium Cocoamphodiacetate, Retinyl Palmitate, Ascorbyl Palmitate, Tocopheryl Acetate, Xanthan Gum, Caprylic/Capric Triglyceride, Mixed Terpenes, Citrus Aurantium Dulcis (Orange) Peel Oil, Citrus Tangerina (Tangerine) Peel Oil, Camellia Sinensis Leaf Extract, Ginkgo Biloba Leaf Extract, Acrylates/Beheneth-25 Methacrylate Copolymer, Talc, Disodium EDTA, Sodium Hydroxide, Phenoxyethanol, Methylchloroisothiazolinone, Methylisothiazolinone, Red 30 (CI 73360), Iron Oxides (CI 77491), Yellow 5 (CI 19140), Yellow 5 Lake (CI 19140)</span></p>",Ayonne skin,Services > Personal Services > Beauty & Personal Care,Anti Aging serums,"anti-aging, Anti-Aging Serum, biohacking, blue project protocol, bryan johnson, Fountain of Youth: Anti-Aging Serums, Mens Collection, Natural Anti-Aging Serum",true,Title,Default Title,,,,,,,,56083-BLNK-MN-03-02-VCL,0.0,shopify,deny,blanka,38.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/5257/9420/files/Vitamin_C_Cleanser_png_7e4bd657-46f7-40b3-85f1-62c4dc3ec985.png?v=1730791567,1,"",false,Buy Vitamin C Cleanser - Best Cosmetics Product,"Shop Vitamin C Cleanser, the best in skincare and beauty products. Perfect for anti-aging and moisturizing effects.",,,,,,,,,,,,,,,,,lb,,14.77,active
